,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
来来往往,lái lái wǎng wǎng,指多次来和去交往,清·褚人获《隋唐演义》第63回：“只见街坊上来来往往，许多人挤在间壁一个庵院门首，尉迟南问土人为着何事。”,作定语、状语；多用于口语。,,中性,come and go（back and forth）,联合式,四字,古代,常用,,明·施耐庵《水浒传》第13回：“两个在阵前，来来往往，番番复复，搅做一团，扭做一块。”,,,,,AABB式,,
手下留情,shǒu xià liú qíng,下手处理事情时；留些情面；不把事做绝。,看在你们相识多年的份上，请你手下留情，就原谅他这一次吧！,偏正式；作谓语；含褒义。,抚爱；握别依依,褒义,hold one's hand（make allowances for）,偏正式,四字,近代,常用,手下留情,《庚子风云》：“在这几个当口，赵三多明明可以乘虚而入，将王成德击倒，他却一再手下留情，都把王成德让过了。”,,“留”，不能写作“流”。,,手下畱情,,高举拳头轻轻放,
瞠目结舌,chēng mù jié shé,瞠：瞪着眼睛；结舌：翘起舌头落不下。瞪眼翘舌说不出话来；形容受窘或惊呆而一时无法对付的样子。也作“结舌瞠目”。,他问每个同学的时候，别的同学也不得不倾耳静听，注意前后情节的线索，否则突然问到，便不免瞠目结舌，不知所答。（邹韬奋《经历》）,联合式；作谓语、补语；用于书面语。,,中性,stare tongue…tied,联合式,四字,近代,常用,瞠目结舌,清 和邦额《夜谭随录》：“因耳语其故，公子大骇，入舱隐叩细君，细君结舌瞠目。”,“结”，不能读作“jiē”。,“瞠”，不能写作“称”、“膛”。,瞠目结舌和“目瞪口呆”、“张口结舌”都可形容惊呆或窘迫的样子。但在表示说不出来的程度上不一样；瞠目结舌的人有时还能结结巴巴地说出点话；“目瞪口呆”的人一句话也说不出来。瞠目结舌为书面语；“目瞪口呆”书面语常用；口语中也常用。同时；表示惊呆的神态也不同：瞠目结舌是“瞪着眼睛”；“张口结舌”是“张着嘴”。,瞪目結舌,,,
心有余悸,xīn yǒu yú jì,指可怕的事情虽已过去；心里还感到害怕。悸：因为害怕而心跳。,如果他第一次在路上遇到的只是井绳，他就不会心有余悸了。（孙犁《奋勇地前进、战斗—在一次座谈会上的发言》）,主谓式；作谓语、定语、状语；含贬义。,惊弓之鸟,贬义,shudder at the thought of,主谓式,四字,当代,常用,心有余悸,柳洲《风雨桃花洲》：“谈到三年前倒圩的情景，赵老大心有余悸地说：‘那次桃花洲的人淹死了一半，庄稼全毁了。’”,,“悸”，不能写作“忌”。,见“心惊肉跳”。,心有餘悸,,,
卷土重来,juǎn tǔ chóng lái,卷土：卷起尘土；形容人马奔跑。比喻失败之后重新集结力量反扑过来；或重新恢复势力。,他们要挣扎，他们要变天，他们要卷土重来。（曲波《林海雪原》一）,偏正式；作谓语、宾语、定语；含贬义。,烂泥路上开倒车,贬义,renew an effort after failure,偏正式,四字,古代,常用,卷土重来,唐 杜牧《题乌江亭》诗：“胜败兵家事不期，色羞忍耻是男儿；江东子弟多才俊，卷土重来未可知。”,“卷”，不能读作“juàn”；“重”，不能读作“zhòng”。,“土”，不能写作“士”。,见“东山再起”。,卷土重來,,烂泥路上开汽车；席包泥巴作被盖,卷土重来
货真价实,huò zhēn jià shí,货物质量好；价格公道；原是旧时商人招揽生意的用语。也可形容地道、不走样、不离谱。,这件大衣货真价实，是地地道道的名牌。,联合式；作宾语、定语；用于人或事物。,铁拐李卖跌打药,中性,honest prices and goods,联合式,四字,近代,常用,货真价实,清 吴趼人《二十年目睹之怪现状》：“但不知可有‘货真价实，童叟无欺’的字样没有？”,“实”，不能读作“sí”。,“货”，不能写作“贷”。,货真价实和“名副其实”；都表示“不是假的”；有时可通用。但“名副其实”用作褒义；是名称或名声同实际相一致；货真价实多用作贬义。虽可用于名实相符的场面；但本身不含此意；仅表示是真的；是实实在在的。,貨真價實,,,
人道主义,rén dào zhǔ yì,道：道义。关心人类幸福。,王朔《你不是一个俗人》：“如果你不是以救死扶伤的革命人道主义去对待他，那无异于落井下石、谋财害命，把自己的欢乐建筑在他人的痛苦之上！”,作主语、宾语、定语；指慈善方面。,,中性,humanitarianism,偏正式,四字,当代,常用,人道主义,老舍《代语堂先生拟赴美宣传大纲》：“真要是把老渔夫或船娘都喂了海鱼，未免有悖于人道主义。”,,,,人道主義,,,
持之以恒,chí zhī yǐ héng,持：保持；坚持；之：代词；指所要坚持的东西；恒：长久；指恒心。有恒心地坚持下去。也作“持之以久”。,学习要锲而不舍，持之以恒，就能取得好成绩。,偏正式；作谓语、状语；表示长久不变。,,中性,in a persistent way,偏正式,四字,古代,常用,持之以恒,宋 楼钥《攻愧集 雷两应诏封事》：“凡应天下之事，一切行之以诚，持之以久。”,“以”，不能读作“jǐ”。,“以”，不能写作“已”。,持之以恒和“锲而不舍”；都含有“有恒心；坚持到底”的意思。但持之以恒偏重于有恒心；是直陈性的；“锲而不舍”偏重于不放弃、不半途而废；是比喻性的。,持之以恆,,,
争先恐后,zhēng xiān kǒng hòu,争着向前；唯恐落后。,在学校举行的运动会上，各班同学争先恐后，奋力争先。,联合式；作谓语、状语；形容人的动作等。,急；冲线；赛跑,中性,strive to be the first and fear to lag behind,联合式,四字,古代,常用,争先恐后,明 屠勋《屠康僖公集 重建陡门桥记》：“匪公帑而乐施者争先恐后。”,,,争先恐后和“不甘后人”都含有“不肯落在别人后面”的意思。但争先恐后还有“争先”和“在公共场合不守秩序”的意思；“不甘后人”没有。,爭先恐后,,,争先恐后
死去活来,sǐ qù huó lái,指因极度的疼痛或悲哀；晕过去；又活过来。多形容被打得很惨；或哭得很厉害。,柳知府已经吓得死去活来。（清 李宝嘉《文明小史》第三回）,联合式；作谓语、补语；含贬义。,转世；终生；屠宰场,贬义,hovering between life and death（be half dead and half alive）,联合式,四字,古代,常用,死去活来,《京本通俗小说 错斩崔宁》：“当下众人将那崔宁与小娘子死去活来拷打一顿。”,,“活”，不能写作“和”。,死去活来与“半死不活”区别在于：死去活来指极度悲痛或被打得极其疼痛的样子；“半死不活”指被折磨得程度很重或形容人没有活力。,死去活來,,,
迫在眉睫,pò zài méi jié,迫：紧迫；睫：眉毛和眼睫毛。已经逼近眉毛和眼睫毛之间。比喻事情十分紧急；已到眼前。,新的内战危机忽然又迫在眉睫了。（方纪《挥手之间》）,主谓式；作谓语、定语；用于书面语。,眼镜,中性,pressing,动宾式,四字,古代,常用,迫在眉睫,战国 郑 列御寇《列子 仲尼》：“虽远在八荒之外，近在眉睫之内，来干我者，我必知之。”,“迫”，不能读作“pè”。,“睫”，不能写作“捷”。,迫在眉睫和“火烧眉毛”；都比喻特别紧迫、危急。但“火烧眉毛”多偏重在势态时间非常危急、紧迫；多为流行在群众中的口语；迫在眉睫偏重在事情急迫、迫近；多用于书面语。,,,大火烧到额头上,
随波逐流,suí bō zhú liú,随：跟着；逐：追赶；追随。随着波浪起伏；跟着流水漂荡。比喻没有坚定的立场；缺乏判断是非的能力；只是随着别人走。,郭沫若《屈原》第一幕：“你不随波逐流，也不故步自封。”,联合式；作谓语、状语；含贬义，用于人。,浪子；浪荡；放木排；江上纸船,贬义,follow the crowd,偏正式,四字,古代,常用,随波逐流,西汉 司马迁《史记 屈原贾生列传》：“夫圣人者，不凝滞于物而能与世推移。举世混浊，何不随其流而扬其波？”,“逐”，不能读作“zú”。,“逐”，不能写作“遂”。,随波逐流和“同流合污”；都有“跟着别人走”的意思。但随波逐流偏重于“没有主见”；所随的是大流；对象不明确、不具体；“同流合污”偏重于“一起干坏事”；所“同”、“合”的全是坏事；多是明确、具体的。语义较重。,隨波逐流,,无舵的船；发大水放排,
意味深长,yì wèi shēn cháng,含意深刻；耐人寻味。,书中所述的人生哲理，意味深长。朱自清《经典常谈 四书第七》,主谓式；作定语、状语、补语；含褒义。,,褒义,full of meaning,主谓式,四字,古代,常用,意味深长,宋 程颢、程颐《河南程氏遗书》：“读之愈久，但觉意味深长。”,“长”，不能读作“zhǎng”。,“味”，不能写作“昧”。,,意味深長,,,
出其不意,chū qí bù yì,其：代词；对方；不意：没有意料到。原指作战时；在对方料想不到或没有准备时；进行突然袭击。现泛指出乎人的意料之外。,今日是年晚，此老必定在家，须乘此时调兵围住，出其不意，方无走失。（明 凌濛初《二刻拍案惊奇》卷四）,连动式；作谓语、宾语、定语；指乘人不备突然行动。,不往意大利,中性,beyond one's range of expectation,动宾式,四字,古代,常用,出其不意,孙武《孙子 计篇》：“攻其无备，出其不意。”,“其”，不能读作“qī”。,“其”，不能写作“奇”；“意”，不能写作“义”。,出其不意和“出人意料”；都有“让人不曾想到或料到”的意思。不同在于：①出其不意是出于对方意料之外的意思；“出人意料”是出于人们意料之外的意思。②出其不意可表示在敌人意料不到的地方或时候；突然袭击的意思；“出人意料”不能。“出人意料”着重在当事人对事物好坏、变化等事先已有所估计；只不过事实和所估计的恰巧相反。,,,,出其不意
完完全全,wán wán quán quán,指全部、彻底。,毛泽东《反对本本主义》：“你完完全全调查明白了，你对那个问题就有了解决的办法了。”,作定语、状语；指全部。,,中性,at all points（from the bottom up; from tip to toe）,联合式,四字,古代,常用,完完全全,明·冯梦龙《喻世明言》第一卷：“兴哥不得已而休之，心中兀自不忍，所以改嫁之夜，把十六只箱笼，完完全全地赠他。”,,,,,AABB式,,
东张西望,dōng zhāng xī wàng,这里那里地到处看。形容寻找东西或心神不安；注意力不集中。,见范进抱着鸡，手里插个草标，一步一踱的，东张西望，在那里寻人买。（清 吴敬梓《儒林外史》第三回）,联合式；作谓语、状语；含贬义。,一时看两头,贬义,stare wildly about（gaze around; look in all directions）,联合式,四字,古代,常用,东张西望,明 冯梦龙《喻世明言》：“三巧儿只为信了卖卦先生之语，一心只想丈夫回来，此时经常走向前楼，在帘内东张西望。”,,,,東張西朢,,出洞的老鼠,东张西望
别无选择,bié wú xuǎn zé,没有别的选择余地。,王朔《一点正经没有》：“看的出来走上这条道也是别无选择。”,作谓语、分句；指只好如此。,,中性,have no alternative but,动宾式,四字,当代,常用,别无选择,玛拉沁夫《茫茫的草原》第三卷：“我们别无选择，我们对那些企图投敌的巴彦，只能采取无情斗争的对策！”,,,,别無選擇,,,
不寒而栗,bù hán ér lì,寒：寒冷；栗：发抖。不是因为寒冷而发抖。形容恐惧到了极点。,想到他可能遭遇的种种危险，真教人不寒而栗。,紧缩式；作谓语、定语；用于想到、听到或见到令人恐惧不安的。,热身战；六月打颤,中性,tremble with fear,紧缩式,四字,古代,常用,不寒而栗,西汉 司马迁《史记 酷吏列传》：“是日皆报杀四百馀人，其后郡中不寒而栗。”,“而”，不能读作“ěr”。,“栗”，不能写作“粟”、“票”。,不寒而栗和“毛骨悚然”；都形容害怕、恐惧。但“毛骨悚然”语义重；并可形容非常冷；不寒而栗不能形容冷；可表示内心的害怕。,不寒而慄,,夏天发抖,不寒而栗
自强不息,zì qiáng bù xī,自觉地努力向上；永不停步。息：停止。,一个国家要想强盛，必须要有自强不息的精神。,偏正式；作谓语、宾语、状语；含褒义。,,褒义,constantly strive to become stronger,补充式,四字,古代,常用,自强不息,《周易 乾》：“天行健，君子以自强不息。”,“强”，不能读作“qiǎng”。,,自强不息与“发愤图强”有别：自强不息侧重于形容不断努力；“发愤图强”侧重于形容努力奋斗。,自強不息,,,
酸甜苦辣,suān tián kǔ là,指各种滋味。比喻人生的幸福、欢乐、痛苦、磨难等各种境遇。,解放前，王妈妈饱尝了人间的酸甜苦辣，解放后她才过上了幸福生活。,联合式；作谓语、宾语；形容人生。,,中性," joys and sorrows of life（joys and sooows are sour, sweet, bitter and hot）",联合式,四字,近代,常用,酸甜苦辣,清 李绿园《歧路灯》：“无非为衣食奔走，图挣几文钱，那酸甜苦辣也就讲说不起。”,,“辣”，不能写作“竦”。,,酸甛苦辢,,,
同归于尽,tóng guī yú jìn,一同走向死亡或共同毁灭。归：走向；尽：灭亡。,只图自己安逸，那管世事艰难，弄到后来，不是同归于尽吗？（清 姬文《市声》第十四回）,补充式；作谓语、宾语；含褒义。,原子弹打飞机,褒义,perish together,补充式,四字,古代,常用,同归于尽,战国 郑 列御寇《列子 王瑞》：“天地终乎？与我偕终”卢重玄解：“大小虽殊，同归于尽耳。”,“尽”，不能读作“jīn”。,“尽”，不能写作“劲”。,同归于尽与“玉石俱焚”区别在于：①同归于尽只是强调两者同时死亡或毁灭；没有贵贱、好坏之分；而“玉石俱焚”是强调好的和坏的；或贵重的与贫贱的一样死亡或毁坏。②同归于尽既可用于人；也可用于物；“玉石俱焚”一般用于物。,同歸于儘,,稻草人救火；原子弹打飞机,
琳琅满目,lín láng mǎn mù,琳琅：美玉。满眼都是美好而珍贵的东西。比喻精美、珍贵的物品很多。,这些寿礼陈列在坤宁宫的东西庑中，琳琅满目。（姚雪垠《李自成》第二卷第三十一章）,主谓式；作谓语、定语、状语；指满眼都是珍贵的东西。,珠玉展览会,褒义,a vast array of beautiful exhibits,主谓式,四字,古代,常用,琳琅满目,南朝 宋 刘义庆《世说新语 容止》：“今日之行，触目见琳琅珠玉。”,“琅”，不能读作“liáng”。,“琳”，不能写作“林”。,琳琅满目和“美不胜收”；都可形容美好的事物很多。但琳琅满目偏重在满眼都是；“美不胜收”偏重在多得来不及看；来不及一一欣赏。,琳瑯滿目,,,
势在必行,shì zài bì xíng,行：做。从事情发展的趋势看，必须采取行动。,路遥《平凡的世界》第二卷第54章：“一切恐怕都势在必行了！”,作谓语、定语；指必然的。,,中性,be imperative（must be enforced）,主谓式,四字,近代,常用,势在必行,清·李百川《绿野仙踪》第80回：“又知此事势在必行，次日一早，便往城外访友去了。”,,,,勢在必行,,,
为所欲为,wéi suǒ yù wéi,做想要做的事。形容任意而为；想干什么就干什么。为：做。,他们满以为有了如此强大精良的武器，就可以在别人的国土上横行霸道、为所欲为。（峻青《不尽巨涛滚滚来》）,动宾式；作谓语、宾语、状语；含贬义。,,贬义,act on one's own will,动宾式,四字,古代,常用,为所欲为,宋 司马光《资治通鉴 周威烈王二十三年》：“以子之才，臣事赵孟，必得近幸。子乃为所欲为，顾不易耶？”,“为”，不能读作“wèi”。,,为所欲为和“随心所欲”都有想干什么就干什么的意思。但为所欲为偏重在做；大多是干坏事；“随心所欲”偏重在想；并不一定去干；也不仅仅指干坏事。,為所慾為,ABCA式,,
咄咄逼人,duō duō bī rén,①气势汹汹；盛气凌人；言语或神态中有一种威胁逼人的气势。咄咄：表示惊奇的声音。②形容本领赶上或超过别人；令人惊诧。,书中攻击杨朱、墨翟两派，辞锋咄咄逼人。（朱自清《经典常谈 四书第七》）,偏正式；作谓语、定语、状语；指气势汹汹的样子。,,中性,overbearing; aggressive,偏正式,四字,古代,常用,咄咄逼人,晋 卫铄《与释某书》：“卫有一弟子王逸少，甚能学卫真书，咄咄逼人。”,“咄”，不能读作“chū”。,,咄咄逼人和“盛气凌人”；都能形容气势汹汹；使人难堪。但咄咄逼人的应用范围广；不限用于人；还可用于气势、形势、命令等；“盛气凌人”只用于人；并含有“傲慢自大”的意思。同样用于人；咄咄逼人可修饰“目光”、“气势”等；“盛气凌人”不能。,咄咄偪人,AABC式,,咄咄逼人
匆匆忙忙,cōng cōng máng máng,指做事匆促忙碌。,路遥《平凡的世界》第二卷第37章：“这一天下午，田晓霞突然匆匆忙忙到宿舍来找他，让他跟她到外面走一趟。”,作定语、状语；用于处事。,,中性,cursory（in a hurry; heels over head）,联合式,四字,近代,常用,,曾朴《孽海花》第13回：“仿佛看见那写真师的面貌和先生一样，匆匆忙忙，不敢认真，到底是先生不是？”,,,,,AABB式,,
高高兴兴,gāo gāo xìng xìng,由来自乐观的性情或由一些特殊的快乐原因产生的生气勃勃和乐观的高兴情绪。,邓小平《提倡深入细致的工作》：“在气象一新、大家都满意、大家高高兴兴的情况下，工作好做。”,作谓语、定语、状语；指人的情绪。,,褒义,cheerful（be of good cheer）,联合式,四字,近代,常用,高高兴兴,清·曹雪芹《红楼梦》第67回：“且说薛姨妈闻知湘莲已说定了尤三姐为妻，心中甚喜，正是高高兴兴要打算替他买房子，治家伙，择吉迎娶。”,,,,高高興興,AABB式,,
至高无上,zhì gāo wú shàng,形容高于一切。至：最。,只要能把国家从水深火热里救出来，他就是至高无上的英雄。（梁斌《红旗谱》四十二）,紧缩式；作谓语、宾语、定语；含褒义。,玉皇大帝；到达顶峰,褒义,paramount（supreme; most lofty）,紧缩式,四字,古代,常用,至高无上,西汉 刘安《淮南子 缪称训》：“道至高无上，至深无下。”,,“上”，不能写作“尚”。,,至高無上,,,
全军覆没,quán jūn fù mò,覆没：船翻沉。整个军队被消灭。比喻遭到彻底失败。,太监郭敬监军，诸将悉为所制，师无纪律，而宋濂朱冕全军覆没矣。（清 顾炎武《日知录》卷九）,主谓式；作谓语、定语；含贬义。,只子不剩,贬义,roll up horse and foot（The whole army is destroyed.）,主谓式,四字,古代,常用,全军覆没,《旧唐书 李希烈传》：“官军皆为其所败，荆南节使张伯仪全军覆没。”,“没”，不能读作“méi”。,“覆”，不能写作“复”。,全军覆没和“片甲不存”都含有“全部被消灭”的意思。但全军覆没比“片甲不存”语义广；“片甲不存”含有夸张色彩；全军覆没没有。,全軍覆没,,,
乐此不疲,lè cǐ bù pí,乐：喜爱；爱好；疲：疲倦。乐于做某事；沉浸其中；不觉疲倦。形容对某种事物特别感兴趣。,他对这件工作倍感兴趣，虽常夜以继日，但却乐此不疲。,紧缩式；作谓语、定语；含褒义。,唱歌助兴,褒义,always enjoy it,紧缩式,四字,古代,常用,乐此不疲,南朝 宋 范晔《后汉书 光武帝纪下》：“我自乐此，不为疲也。”,“乐”，不能读作“yuè”。,“疲”，不能写作“皮”。,,樂此不疲,,,乐此不疲
游刃有余,yóu rèn yǒu yú,刃：刀口；刀锋；游刃：运转刀刃；余：余地。比喻经验丰富；做事熟练；解决问题毫不费力。,从前他们又要办厂，又要做公债，也居然稳渡了两次险恶的风波，现在他们全力来做公债，自然觉得游刃有余。（茅盾《子夜》十七）,主谓式；作谓语、宾语；含褒义。,最好的杀牛技巧,褒义,handle a butcher's cleaver skillfully,主谓式,四字,古代,常用,游刃有余,先秦 庄周《庄子 养生主》：“彼节者有间，而刀刃者无厚；以无厚入有间，恢恢乎其于游刃必有余地矣。”,,“刃”，不能写作“刀”；“余”，不能写作“鱼”。,游刃有余与“熟能生巧”都有“熟练了就容易”的意思。但“熟能生巧”偏重在“生巧”；指掌握技巧或窍门；游刃有余偏重在“有余”；指解决问题毫不费力。,游刄有余,,,游刃有余
千千万万,qiān qiān wàn wàn,形容为数极多。,清·文康《儿女英雄传》第三回：“大爷，你可千千万万见了这二个人的面再商量走的话！”,联合式；作谓语、定语；形容数量极多。,,中性,millions upon millions（tens of thousands）,联合式,四字,古代,常用,千千万万,唐 杜牧《晚晴赋》：“千千万万之状容兮，不可得而状也。”,,,,千千萬萬,AABB式,,
自由主义,zì yóu zhǔ yì,主张个人自由发展、自由表现的看法或人生观,邓小平《贯彻执行中共中央关于土改与整党工作的指示》：“领导机关的放松领导和放任各种错误倾向的自由主义，都达到相当惊人程度。”,作主语、宾语、定语；用于处世等。,,贬义,liberalism,偏正式,四字,当代,常用,自由主义,毛泽东《反对自由主义》：“但是自由主义取消思想斗争，主张无原则的和平，结果是腐朽庸俗的作风发生。”,,,,自由主義,,,
脱胎换骨,tuō tāi huàn gǔ,原为道教用语。指修道者得道以后；就脱凡胎为圣胎；换凡骨为仙骨。现比喻通过教育；思想得到彻底改造。,那长老自服了草还丹，真是脱胎换骨，神爽体健。（明 吴承恩《西游记》第二十七回）,联合式；作谓语、状语；含褒义。,,褒义,cast off one's old self and take on a new self,联合式,四字,古代,常用,脱胎换骨,宋 葛长庚《沁园春 赠胡葆元》：“常温养，使脱胎换骨，身在云端。”,“胎”，不能读作“tái”。,“换”，不能写作“焕”。,脱胎换骨和“洗心革面”；都可比喻“彻底改造重新做人”。但脱胎换骨可指罪人的彻底改造；也可指一般思想上有毛病的人的改造；适用范围较广；“洗心革面”一般只指罪人的彻底改造；适用范围较小。凡用“洗心革面”的；一般都可用脱胎换骨。,脫胎換骨,,,脱胎换骨
不相上下,bù xiāng shàng xià,上下：比喻高低、好坏等。分不出高低。形容程度相等。,他俩年龄相当，个头也不相上下。,偏正式；作谓语、定语、补语；用于人与无。,看中；看中间；两个第一,中性,about equal,偏正式,四字,古代,常用,不相上下,唐 陆龟蒙《蠹化》：“翳叶仰啮，如饥蚕之速，不相上下。”,“相”，不能读作“xiàng”。,“相”，不能写作“向”。,（一）不相上下和“势均力敌”；都含有“分不出高低”的意思。但“势均力敌”偏重指力量相等；不相上下应用广泛；可表示分不出高低、好坏、大小、轻重、长短和强弱等。（二）见“并驾齐驱”。,,,,
谈情说爱,tán qíng shuō ài,谈恋爱。,路遥《平凡的世界》第二卷第52章：“尽管他们不是谈情说爱。他和田晓霞是另一个层次上的朋友。”,作宾语、定语；用于男女之间。,恋爱,中性,talk love（be concerned with love and romance）,联合式,四字,当代,常用,谈情说爱,钱钟书《围城》：“看人家一对对谈情说爱，好不眼红。”,,,,談情説愛,,,
难能可贵,nán néng kě guì,难能：很难做到；可贵：值得宝贵。本来难做到的事竟然做到了；这是很可贵的。,乃墨子于小故一条已能如此，是亦难能可贵矣。（章炳麟《诸子学略说》）,联合式；作宾语、定语；含褒义。,,褒义,exceptionably commendable estimable,偏正式,四字,古代,常用,难能可贵,宋 苏轼《荀卿论》：“子路之勇，子贡之辩，冉有之智，此三子者，皆天下之所谓难能而可贵者也。”,“难”，不能读作“nàn”。,,,難能可貴,,,
一厢情愿,yī xiāng qíng yuàn,指单方面的愿望或不考虑客观实际情况的主观意愿。同“一相情愿”。,高阳《胡雪岩全传·萧瑟洋场》：“这是他一厢情愿的想法，胡雪岩只能替他办到不出关票。”,作定语、状语；指单方面的事情。,叫化子想公主,中性,one's own wishful thinking,偏正式,四字,古代,常用,一厢情愿,蒋子龙《乔厂长上任记》：“有人说：‘你这一厢情愿，石敢同意去吗？’”,,,,一廂情願,,,一厢情愿
勇往直前,yǒng wǎng zhí qián,勇敢地一直向前。形容毫无畏惧地迎着困难上；不达目的决不罢休。,人人惧摩拳擦掌，个个勇往直前。（明 许仲琳《封神演义》第七十三回）,联合式；作谓语、定语、状语；含褒义。,猛将军上阵,褒义,march forward courageously,联合式,四字,古代,常用,勇往直前,明 许仲琳《封神演义》：“从俱摩拳擦掌，个个勇往直前。”,“勇”，不能读作“yōng”。,“勇”，不能写作“永”。,勇往直前和“一往无前”；都含有“一直奋勇前进”的意思。但“一往无前”偏重在“无前”；表示“无所阻挡”；突出了藐视前进道路上一切“艰难险阻”的意思；勇往直前偏重在“勇”突出“勇敢”的意思。,,,,
虎视眈眈,hǔ shì dān dān,眈眈：注视的样子。像老虎一样凶狠地注视着。形容心怀不良；伺机攫取。,你看这里这些人，因见老太太多疼了宝玉和凤姐姐两个，他们尚虎视眈眈，背地里言三语四的，何况于我？（清 曹雪芹《红楼梦》第四十回）,主谓式；作定语、状语；含贬义，形容心怀不善，伺机攫取。,,贬义,look at fiercely as a tiger does,偏正式,四字,近代,常用,虎视眈眈,《周易 颐》：“虎视耽耽，其欲逐逐。”,“眈”，不能读作“chén”。,“眈”，不能写作“耽”。,,虎視眈眈,ABCC式,,
史无前例,shǐ wú qián lì,前例：以前的事例。历史上从来没有过的事。,1935年，中国工农红军完成了史无前例的两万五千里长征，揭开了中国革命的新的一页。,主谓式；作谓语、定语；用于重大事情。,新纪录,中性,unprecedented in history,主谓式,四字,近代,常用,史无前例,清 丘逢甲《岭云海日楼诗抄》：“牢落文章第一人，天门垂翅竟何因？百年记注无前例，万事枢机有要津。”,“例”，不能读作“liè”。,“例”，不能写作“列”。,史无前例与“前所未有”区别在于：史无前例偏重在“史”和“例”；用于强调历史上从未有过；而“前所未有”指以前没有；语气较轻；适用范围比史无前例广。,史無前例,,,
心灰意冷,xīn huī yì lěng,灰心失望，意志消沉。,我们不要因为某一科没考好而心灰意冷,联合式；作谓语、定语、状语；含贬义。,,贬义,be down-hearted（lose heart; be disheartened）,联合式,四字,近代,常用,心灰意冷,清 梁启超《湖南时务学堂学约》：“非有坚定之力，则一经挫折，心灰意冷。”,,,,,,,心灰意冷
了如指掌,liǎo rú zhǐ zhǎng,了：了解；清楚。指掌：指手掌里的东西。形容对情况清楚得就像指点掌上的东西；给人看一样。比喻对事物了解得非常清楚。,只这一相形之下，美丑高低，便了如指掌了。（闻一多《冬夜评论》）,偏正式；作谓语；指对事物十分了解。,失手；熟手；空手,中性,know something like the palm of one's hand（know as one know his ten fingers; know as well as a beggar knows his bag）,偏正式,四字,古代,常用,了如指掌,先秦 孔子《论语 八佾》：“或问禘之说。子曰：‘不知也；知其说者之于天下也，其如示诸斯乎！’指其掌。”,“了”，不能读作“le”。,“指”，不能写作“旨”；“掌”，不能写作“撑”。,了如指掌和“一目了然”；都含有对情况清楚了解之意。但了如指掌偏重于表示了解得十分全面透彻；“一目了然”偏重于了解得十分容易、一看就懂的意思。,瞭如指掌,,,了如指掌
斩钉截铁,zhǎn dīng jié tiě,斩：砍断；截：切断。砍断钉子切断铁。比喻做事；说话坚决果断。,我喜欢那种斩钉截铁的作风。,联合式；作定语、状语、补语；含褒义。,锻工,褒义,resolute and decisive,联合式,四字,古代,常用,斩钉截铁,宋 释道原《景德传灯录 洪州云居道膺禅师》：“师谓众曰：‘学佛法底人，如斩钉截铁始得。’”,,“斩”，不能写作“崭”；“截”，不能写作“接”。,斩钉截铁与“直截了当”有别：斩钉截铁侧重于形容态度坚决；毫不犹豫；“直截了当”侧重于形容态度明朗爽快；毫不含糊。,斬釘巀鐵,,五金厂上班；铁匠使凿子,
僧多粥少,sēng duō zhōu shǎo,和尚多，而供和尚喝的粥少。比喻物少人多，不够分配。,熊召政《张居正》第四卷第五回：“僧多粥少，稍一不慎，就会惹出祸事。”,联合式；作谓语、定语、分句；含贬义。,,贬义,not enough to satisfy everyone（the gruel is meagre and the monks are many―not enough to go round）,联合式,四字,当代,常用,僧多粥少,王朔《浮出海面》：“国家有困难，僧多粥少，为国分忧嘛。”,,,,,,,
疲惫不堪,pí bèi bù kān,疲惫：极度疲乏；不堪：表示程度深。形容非常疲乏。,这一趟出差弄得疲惫不堪。,偏正式；作谓语、定语、补语；含贬义。,,贬义,debilitated（be beaten out）,偏正式,四字,当代,常用,疲惫不堪,刘操南《武松演义》第十回：“犯人一上梃棍，坐卧不得，只是局局促促地挤做一团，弄得疲惫不堪。”,“堪”，不能读作“shèn”。,“惫”，不能写作“备”。,,疲憊不堪,,,
无穷无尽,wú qióng wú jìn,穷、尽：完。没有尽头；没有限度。,那西天路无穷无尽，几时能到得！（明 吴承恩《西游记》第四十回）,联合式；作谓语、定语、状语；形容没有限度。,一江春水向东流,中性,have no limit,联合式,四字,古代,常用,无穷无尽,宋 晏殊《踏莎行》：“无穷无尽是离愁，天涯地角寻思遍。”,“尽”，不能读作“jǐn”。,“尽”，不能写作“劲”。,无穷无尽和“无边无际”都含有没有尽头；没有止境的意思。但无穷无尽多指时间；偏重在形容数量极多；“无边无际”多指空间面积大。,無窮無儘,ABAC式,,
不计其数,bù jì qí shù,计：计算。没法子计算数目。形容极多。,去州桥河内周围上下点灯，不计其数。（明 施耐庵《水浒传》第六十六回）,动宾式；作谓语、定语、补语；形容人或事物很多。,四舍值；管它是多少,中性,too many to be counted（innumerable）,动宾式,四字,古代,常用,不计其数,宋 周密《癸辛杂识别集下 襄阳始末》：“火炮、药箭射死北兵及坠水者，不计其数。”,“数”，不能读作“shǔ”。,“计”，不能写作“记”。,不计其数与“不一而足”有别：不计其数偏重数量之多；中性；“不一而足”偏重花色品种样式之多；贬义。,不計其數,,,
